Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV,News_Sentiment
2022-11-18,149.55116271972656,150.94496070019653,148.246341800127,150.5594437144723,74829600,145.20443267822264,152.85132385253905,145.7208336126829,144.96990851165543,0.7509251010274625,-0.29820126959029,47.87279126102656,145.0495849609375,156.447188715139,133.651981206736,132.83552430474884,153.40886706506188,81.24901533459352,74.26584511414104,2.6986189000695333,1.9572287666027817,0.7413901334667514,2.6986189000695333,5.43447551737835,414469200,0.0
2022-11-21,146.30886840820312,148.6417447784354,146.02220810744817,148.43416682216127,58724100,144.90492828369142,152.7346620941162,145.8113005043014,145.06909072621454,0.7422097780868455,-0.0901190600548628,47.20805081155339,144.99064712524415,156.34728483613682,133.63400941435148,132.83552430474884,151.82473825025608,70.95261626631202,76.9040007046815,2.6195366709872303,0.9094179412911672,3.528954612278397,3.528954612278397,5.241043156411154,355745100,0.0
2022-11-22,148.4539337158203,148.69118076144065,145.24128683803002,146.42750698271593,51804100,144.83760650634767,152.63231735229493,146.21785945991968,145.31981983655572,0.8980396233639567,0.107512676628901,56.845569614297496,144.89635848999023,156.09623543652768,133.6964815434528,132.83552430474884,151.82473825025608,82.24884639811133,78.15015933300563,3.4498939234106274,2.3823123532375234,1.067581570173104,3.4498939234106274,4.98204604571086,407549200,0.0
2022-11-23,149.33372497558594,150.08498469071404,147.62359740352187,147.73233375155243,58301400,144.7588668823242,152.51877433776855,146.6972233854068,145.61714614315056,1.0800772422562377,0.3020255897543683,68.20045123197548,144.99359741210938,156.3176753943125,133.66951942990627,132.83552430474884,151.82473825025608,86.8819568693715,80.02780651126496,2.461387287192167,1.631050974893725,0.8303363122984422,2.461387287192167,4.715177833799719,465850600,0.0
2022-11-25,146.40769958496094,147.16885381990136,145.42907271146612,146.60539786998885,35195900,144.67963439941406,152.3834669494629,146.6526812622613,145.67570565735872,0.9769756049025772,0.4370155927840101,63.21644879502788,145.16904678344727,156.46516177735,133.87293178954454,133.04311982943733,151.82473825025608,71.15776423185063,80.0961891664445,1.7397811084352384,2.16487115568458,3.904652264119818,3.904652264119818,4.408744907247812,430654700,0.0
2022-11-28,142.5624542236328,144.95463890856828,141.7321121181346,143.4718786844285,69246000,144.55645904541015,152.24940162658692,146.02341556401075,145.4450944400457,0.5783211239650541,0.4652766990202189,56.5986208911165,144.61241607666017,155.21544486215285,134.00938729116749,133.04311982943733,151.82473825025608,50.68431367520917,69.57467825881044,3.222526790433676,1.4530606763926528,4.675587466826329,4.675587466826329,4.497001219608848,361408700,0.0
2022-11-29,139.54750061035156,143.1456646936347,138.73693289245665,142.6316369436181,83763800,144.29837677001953,152.11738395690918,145.0271209557555,145.00823563784613,0.0188853179093655,0.3759984227980483,51.95870793748617,144.02346267700196,154.36144827596792,133.685477078036,133.04311982943733,151.82473825025608,34.631630964017695,52.15790295702584,4.40873180117805,0.5832104700018874,3.825521331176162,4.40873180117805,4.533717483626666,277644900,0.0
2022-11-30,146.32864379882812,147.01071582680532,138.9346179969114,139.7748396315525,111380900,144.12815277099608,152.01809143066407,145.22735523930513,145.10604364977073,0.1213115895344003,0.3250610561453187,64.667841413936,143.90630035400392,154.07418255842046,133.73841814958735,137.89670115296482,151.82473825025608,60.53934654509045,48.618430394772446,8.07609782989391,7.4632152164537615,0.6128826134401493,8.07609782989391,4.763897459432692,389025800,0.0
2022-12-01,146.60540771484375,147.4159903463265,144.92494955414173,146.50656610739853,71250400,144.0262286376953,151.90094436645506,145.4393633124649,145.21710765459093,0.2222556578739727,0.3044999764910495,52.17255010827235,144.08028564453124,154.31081904075037,133.84975224831211,138.73693289245665,151.82473825025608,60.12065893917674,51.76387881609497,2.4910407921847764,1.0873465474983846,1.4036942446863918,2.4910407921847764,4.094536725699238,460276200,0.0
2022-12-02,146.11117553710938,146.2989942268281,143.97599740675216,144.2824471593233,65447400,143.9337628173828,151.78250694274902,145.5427190393333,145.28333490514785,0.2593841341854386,0.2954768080299274,46.93282470514144,144.53302154541015,154.24296295962256,134.82308013119774,138.73693289245665,151.82473825025608,56.34437892747803,59.00146147058175,2.322996820075957,0.3064134880156359,2.629410308091593,2.629410308091593,3.884124815530291,394828800,0.0
2022-12-05,144.94473266601562,149.18541949197922,144.09461635687657,146.07162962618466,68826400,143.86356170654298,151.67629486083985,145.45072113574597,145.2582532578047,0.1924678779412545,0.2748750220121928,47.30128978407996,144.94078063964844,153.94051031702816,135.94105096226872,138.73693289245665,151.82473825025608,47.43193838365908,54.632325416771295,5.090803135102647,3.074243954869843,2.016559180232804,5.090803135102647,4.046521475867213,326002400,0.0
2022-12-06,141.26748657226562,145.60703008872727,140.28885957535718,145.3796777864446,64727200,143.71310485839842,151.55947059631347,144.80714658751822,144.96264091072774,-0.155494323209524,0.1888011529678494,39.04088625560707,145.13798751831055,153.5911638283276,136.6848112082935,138.73693289245665,150.94496070019653,20.728603501356044,41.50164027083106,5.318170513370092,0.6622974227116458,4.655873090658446,5.318170513370092,4.051463772353594,261275200,0.0
2022-12-07,139.3201446533203,141.72220883121116,138.3909458890047,140.55577809875786,69721100,143.50416107177733,151.4475718688965,143.96299244379546,144.54467822499385,-0.581685781198388,0.0347037661346019,38.19551769362008,145.20915985107422,153.4262999973977,136.99201970475073,138.3909458890047,150.94496070019653,7.401606404137823,25.18738276305099,3.3312629422064504,0.4547222589455373,2.876540683260913,3.3312629422064504,4.095239594918908,191554100,0.0
2022-12-08,141.01048278808594,141.87049392300491,139.47830938217072,140.72382246539036,62128300,143.36692016601563,151.36503593444823,143.50876018907093,144.28288597040807,-0.7741257813371476,-0.1270621433597479,37.783809575884526,145.59368896484375,151.9851925611541,139.2021853685334,138.3909458890047,150.94496070019653,20.866128790426984,16.332112898640293,2.3921845408341937,2.5503492696846024,0.1581647288504086,2.5503492696846024,3.901068646114928,253682400,0.0
